gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,pct_FC
Fcer1g,1.1224732006984897e-126,-1.85319851780069,0.259,0.522,2.9808398317749197e-122,0.49616859202742203
Jchain,9.509076573020223e-16,-2.02056049385848,0.608,0.657,2.52523037473125e-11,0.925418570389367
Chil3,4.23189188632861e-43,-2.12113917105801,0.37799999999999995,0.519,1.1238212093334299e-38,0.7283237046565759
Camp,2.8559504909581496e-28,-2.24504309036594,0.354,0.47100000000000003,7.584262123788449e-24,0.7515923619619459
Retnlg,5.339112847762909e-22,-2.36255120649269,0.392,0.503,1.41785480785192e-17,0.7793240600532
Ltf,4.47269863160456e-23,-2.42661914567642,0.33399999999999996,0.436,1.18776984860891e-18,0.766055051237269
Lcn2,1.3157543474088501e-36,-2.46160681436219,0.519,0.609,3.49411724497893e-32,0.8522167511951271
Lyz2,1.0225751684848799e-58,-2.58152674669993,0.665,0.721,2.7155506174284493e-54,0.922330098164631
Ngp,2.6167822247039106e-31,-2.61923572293143,0.8390000000000001,0.848,6.9491268759237e-27,0.989386792577986
S100a9,4.88574582066481e-45,-2.69065447127904,0.9179999999999999,0.912,1.2974586601357499e-40,1.00657894729628
S100a8,2.27553696460874e-42,-2.79483608307121,0.914,0.905,6.042915963214959e-38,1.00994475127133
